step,test_acc
200,0.977163461538
400,0.986177884615
600,0.987479967949
800,0.991486378205
1000,0.990885416667
1200,0.991786858974
1400,0.992287660256
1600,0.993088942308
1800,0.992988782051
2000,0.993389423077
2200,0.993489583333
2400,0.99358974359
2600,0.994491185897
3000,0.994491185897
3200,0.994090544872
3400,0.994591346154
3600,0.994891826923
3800,0.994891826923
4000,0.994991987179
4200,0.994391025641
4400,0.994791666667
4600,0.994791666667
4800,0.994791666667
5000,0.995092147436
5200,0.995092147436
5400,0.994791666667
5600,0.99469150641
5800,0.994591346154
6000,0.994391025641
6200,0.99469150641
6400,0.994290865385
6600,0.994791666667
6800,0.994791666667
7200,0.994791666667
7400,0.994591346154
7600,0.995392628205
7800,0.995392628205
8000,0.994891826923
8200,0.994391025641
8400,0.995192307692
8600,0.994791666667
8800,0.994791666667
9000,0.994491185897
9200,0.995292467949
9400,0.995092147436
9600,0.995192307692
9800,0.995192307692
10000,0.994591346154
10200,0.995292467949
10400,0.995793269231
10600,0.995192307692
10800,0.995292467949
11000,0.99469150641
11400,0.995292467949
11600,0.99469150641
11800,0.995292467949
12000,0.99469150641
12200,0.994991987179
12400,0.995192307692
12600,0.995092147436
12800,0.995092147436
13000,0.994791666667
13200,0.995092147436
13400,0.994591346154
13600,0.995092147436
13800,0.995192307692
14000,0.995492788462
14200,0.995492788462
14400,0.994891826923
14600,0.994591346154
14800,0.995292467949
15000,0.995092147436
15200,0.995492788462
15600,0.994991987179
15800,0.995192307692
16000,0.994791666667
16200,0.995092147436
16400,0.994991987179
16600,0.995693108974
16800,0.994791666667
17000,0.994991987179
17200,0.99469150641
17400,0.995192307692
17600,0.995292467949
17800,0.995392628205
18000,0.995292467949
18200,0.995292467949
18400,0.995092147436
18600,0.995292467949
18800,0.994791666667
19000,0.995292467949
19200,0.994791666667
19400,0.995592948718
19800,0.994290865385
20000,0.995492788462
20200,0.994991987179
20400,0.995392628205
20600,0.994991987179
20800,0.995392628205
21000,0.995092147436
21200,0.994591346154
21400,0.995192307692
21600,0.99469150641
21800,0.995092147436
22000,0.995292467949
22200,0.995592948718
22400,0.995092147436
22600,0.995192307692
22800,0.995092147436
23000,0.995492788462
23200,0.995192307692
23400,0.995392628205
23600,0.99469150641
23800,0.995192307692
24000,0.995492788462
24200,0.995192307692
24400,0.994991987179
24600,0.995492788462
24800,0.995192307692
25000,0.995192307692
25200,0.995092147436
25400,0.994991987179
25600,0.994891826923
25800,0.995492788462
26000,0.995192307692
26200,0.995092147436
26400,0.99469150641
26600,0.995292467949
26800,0.995192307692
27000,0.995292467949
27200,0.995492788462
27400,0.995693108974
27600,0.995092147436
27800,0.995592948718
28000,0.995292467949
28200,0.995092147436
28400,0.995392628205
28600,0.995292467949
28800,0.995192307692
29000,0.995192307692
29200,0.995592948718
29400,0.995292467949
29600,0.995392628205
29800,0.994991987179
30000,0.995192307692
30200,0.995292467949
30400,0.995392628205
30600,0.995192307692
30800,0.995592948718
31000,0.994991987179
31200,0.995092147436
31400,0.995292467949
31600,0.995392628205
31800,0.995392628205
32000,0.995392628205
32200,0.995492788462
32400,0.995492788462
32600,0.995592948718
32800,0.99469150641
33000,0.995192307692
33200,0.995292467949
33400,0.995492788462
33600,0.995192307692
33800,0.995392628205
34000,0.995592948718
34200,0.995693108974
34400,0.994991987179
34600,0.995392628205
34800,0.995092147436
35000,0.995592948718
35200,0.995592948718
35400,0.995392628205
35600,0.995592948718
35800,0.995392628205
36000,0.995592948718
36200,0.994991987179
36400,0.995292467949
36600,0.995392628205
36800,0.995492788462
37000,0.995592948718
37200,0.995192307692
37400,0.995492788462
37600,0.995492788462
37800,0.995392628205
38000,0.995392628205
38200,0.995392628205
38400,0.995492788462
38600,0.995392628205
38800,0.995092147436
39000,0.995693108974
39200,0.99469150641
39400,0.995492788462
39600,0.995192307692
39800,0.995292467949
40000,0.995192307692
40200,0.995492788462
40400,0.995392628205
40600,0.995592948718
40800,0.995592948718
41000,0.995693108974
41200,0.995492788462
41400,0.994891826923
41600,0.995292467949
41800,0.994591346154
42000,0.995192307692
42200,0.995292467949
42400,0.995192307692
42600,0.995392628205
42800,0.995392628205
43000,0.995793269231
43200,0.995392628205
43400,0.995092147436
43600,0.995392628205
43800,0.995292467949
44000,0.994891826923
44200,0.995092147436
44400,0.995092147436
44600,0.994891826923
44800,0.994791666667
45000,0.994391025641
45200,0.995192307692
45400,0.995092147436
45600,0.995092147436
45800,0.995292467949
46000,0.995392628205
46200,0.995292467949
46400,0.995292467949
46600,0.995492788462
46800,0.995292467949
47000,0.994991987179
47200,0.994991987179
47400,0.995192307692
47600,0.994991987179
47800,0.994791666667
